-0.980690+0.012254j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980674+0.012251j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980658+0.012249j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980642+0.012246j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980626+0.012244j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980610+0.012241j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980595+0.012239j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980579+0.012236j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980563+0.012234j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980547+0.012231j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980532+0.012229j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980516+0.012226j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980500+0.012224j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980485+0.012221j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980469+0.012219j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980453+0.012216j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980438+0.012214j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980422+0.012212j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980407+0.012209j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980391+0.012207j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980376+0.012205j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980360+0.012202j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980345+0.012200j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980329+0.012198j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980314+0.012195j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980298+0.012193j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980283+0.012191j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980268+0.012188j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980252+0.012186j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980237+0.012184j,1.386297+0.000000j,1.386291-0.000000j,0.000000
-0.980222+0.012182j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980206+0.012179j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980191+0.012177j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980176+0.012175j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980161+0.012173j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980145+0.012171j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980130+0.012168j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980115+0.012166j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980100+0.012164j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980085+0.012162j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980070+0.012160j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980055+0.012158j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980039+0.012155j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980024+0.012153j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.980009+0.012151j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.979994+0.012149j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.979979+0.012147j,1.386298+0.000000j,1.386291-0.000000j,0.000000
-0.979964+0.012145j,1.386298+0.000000j,1.386291-0.000000j,0.000000
