-1.007402+0.015235j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007392+0.015275j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007382+0.015316j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007372+0.015356j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007362+0.015397j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007353+0.015437j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007344+0.015478j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007335+0.015518j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007326+0.015559j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007318+0.015599j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007310+0.015640j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007302+0.015680j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007294+0.015721j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007287+0.015761j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007280+0.015802j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007273+0.015842j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007267+0.015882j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007261+0.015923j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007255+0.015963j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007249+0.016003j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007244+0.016043j,1.386295-0.000001j,1.386294+0.000001j,0.000000
-1.007239+0.016083j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007234+0.016123j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007229+0.016163j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007225+0.016203j,1.386294-0.000001j,1.386294+0.000001j,0.000000
-1.007221+0.016242j,1.386294-0.000001j,1.386294+0.000001j,0.000000
