0.989744+0.000000j,-0.024996+3.147448j,-0.024996+3.135738j,0.001558
0.992789+0.000000j,-0.025555+3.147493j,-0.025555+3.135692j,0.001594
0.995825+0.000000j,-0.026097+3.147522j,-0.026097+3.135663j,0.001630
0.998859+0.000000j,-0.026624+3.147534j,-0.026624+3.135652j,0.001666
1.002221+0.000000j,-0.027193+3.147524j,-0.027193+3.135661j,0.001706
1.004397+0.000000j,-0.027554+3.147505j,-0.027554+3.135680j,0.001732
1.007018+0.000000j,-0.027980+3.147467j,-0.027980+3.135719j,0.001762
1.009467+0.000000j,-0.028371+3.147415j,-0.028371+3.135770j,0.001791
1.011947+0.000000j,-0.028760+3.147347j,-0.028760+3.135838j,0.001819
1.013976+0.000000j,-0.029074+3.147279j,-0.029074+3.135906j,0.001842
1.016151+0.000000j,-0.029406+3.147192j,-0.029406+3.135993j,0.001866
1.017957+0.000000j,-0.029679+3.147109j,-0.029679+3.136076j,0.001885
