0.736127+0.333367j,0.023916-0.108091j,0.023634-0.107759j,0.000004
0.735484+0.333551j,0.024081-0.108233j,0.023790-0.107889j,0.000004
0.734805+0.333745j,0.024255-0.108382j,0.023954-0.108027j,0.000004
0.734090+0.333949j,0.024439-0.108539j,0.024128-0.108173j,0.000005
0.733336+0.334163j,0.024632-0.108705j,0.024311-0.108327j,0.000005
0.732542+0.334388j,0.024835-0.108879j,0.024504-0.108489j,0.000006
0.731707+0.334625j,0.025049-0.109063j,0.024707-0.108660j,0.000006
0.730829+0.334873j,0.025274-0.109256j,0.024921-0.108840j,0.000007
0.729906+0.335133j,0.025510-0.109458j,0.025146-0.109030j,0.000008
0.728936+0.335406j,0.025759-0.109671j,0.025383-0.109230j,0.000008
0.727917+0.335692j,0.026019-0.109895j,0.025633-0.109440j,0.000009
0.726848+0.335990j,0.026293-0.110129j,0.025895-0.109661j,0.000010
0.725727+0.336303j,0.026580-0.110376j,0.026170-0.109894j,0.000011
0.724551+0.336629j,0.026881-0.110634j,0.026459-0.110138j,0.000012
0.723319+0.336970j,0.027197-0.110904j,0.026762-0.110394j,0.000013
0.722029+0.337325j,0.027528-0.111188j,0.027081-0.110662j,0.000014
0.720677+0.337696j,0.027875-0.111485j,0.027414-0.110944j,0.000015
0.719263+0.338083j,0.028237-0.111796j,0.027764-0.111240j,0.000017
0.717784+0.338485j,0.028617-0.112121j,0.028130-0.111550j,0.000018
0.716237+0.338904j,0.029015-0.112462j,0.028514-0.111875j,0.000020
0.714620+0.339339j,0.029430-0.112818j,0.028916-0.112215j,0.000021
0.712930+0.339792j,0.029865-0.113191j,0.029336-0.112571j,0.000023
0.711166+0.340262j,0.030319-0.113580j,0.029776-0.112943j,0.000025
0.709324+0.340751j,0.030794-0.113987j,0.030236-0.113333j,0.000027
0.707401+0.341257j,0.031290-0.114412j,0.030717-0.113741j,0.000030
0.705395+0.341782j,0.031808-0.114856j,0.031220-0.114167j,0.000032
0.703303+0.342326j,0.032349-0.115320j,0.031745-0.114613j,0.000035
0.701122+0.342889j,0.032914-0.115804j,0.032294-0.115078j,0.000037
0.698849+0.343472j,0.033503-0.116310j,0.032867-0.115565j,0.000040
0.696480+0.344074j,0.034118-0.116837j,0.033465-0.116073j,0.000043
0.694013+0.344697j,0.034760-0.117388j,0.034090-0.116604j,0.000047
0.691444+0.345340j,0.035429-0.117962j,0.034742-0.117158j,0.000050
0.688770+0.346003j,0.036126-0.118561j,0.035422-0.117737j,0.000054
0.685987+0.346687j,0.036854-0.119185j,0.036131-0.118341j,0.000058
0.683091+0.347392j,0.037612-0.119836j,0.036871-0.118971j,0.000063
0.680079+0.348118j,0.038402-0.120516j,0.037642-0.119629j,0.000068
0.676947+0.348865j,0.039226-0.121224j,0.038447-0.120315j,0.000073
