-0.226495+0.890123j,-0.068937+3.478699j,0.105573+2.686927j,0.119385
-0.235058+0.890128j,-0.071161+3.489453j,0.108648+2.671964j,0.127170
-0.243711+0.890050j,-0.073405+3.500291j,0.111715+2.656841j,0.135268
-0.252455+0.889888j,-0.075669+3.511210j,0.114771+2.641557j,0.143684
-0.261288+0.889638j,-0.077953+3.522211j,0.117813+2.626110j,0.152426
-0.270209+0.889299j,-0.080257+3.533292j,0.120838+2.610497j,0.161498
-0.279219+0.888867j,-0.082581+3.544452j,0.123842+2.594718j,0.170908
-0.288316+0.888340j,-0.084925+3.555691j,0.126823+2.578771j,0.180660
-0.297498+0.887715j,-0.087289+3.567007j,0.129777+2.562655j,0.190761
-0.306765+0.886989j,-0.089673+3.578399j,0.132699+2.546369j,0.201217
-0.316115+0.886160j,-0.092076+3.589865j,0.135585+2.529911j,0.212033
-0.325546+0.885225j,-0.094500+3.601404j,0.138432+2.513281j,0.223214
-0.334753+0.884216j,-0.096865+3.612643j,0.141144+2.497015j,0.234389
-0.344346+0.883063j,-0.099330+3.624328j,0.143899+2.480029j,0.246315
-0.353717+0.881837j,-0.101738+3.635719j,0.146517+2.463400j,0.258234
-0.363457+0.880457j,-0.104241+3.647536j,0.149157+2.446069j,0.270916
-0.372977+0.879004j,-0.106689+3.659063j,0.151655+2.429085j,0.283592
-0.382858+0.877386j,-0.109232+3.671004j,0.154158+2.411406j,0.297051
-0.392519+0.875695j,-0.111720+3.682659j,0.156512+2.394065j,0.310503
-0.402530+0.873829j,-0.114302+3.694717j,0.158850+2.376035j,0.324758
-0.412323+0.871890j,-0.116830+3.706494j,0.161033+2.358335j,0.339006
-0.422456+0.869764j,-0.119451+3.718661j,0.163177+2.339952j,0.354075
-0.432372+0.867566j,-0.122021+3.730551j,0.165157+2.321892j,0.369138
-0.442516+0.865196j,-0.124655+3.742700j,0.167056+2.303338j,0.384882
