0.051028-0.834358j,0.025348+3.249943j,-0.038822+2.998537j,0.012551
0.054141-0.833478j,0.026386+3.254375j,-0.040403+2.992666j,0.013598
0.057354-0.832558j,0.027459+3.258955j,-0.042035+2.986596j,0.014723
0.060667-0.831594j,0.028567+3.263687j,-0.043720+2.980320j,0.015933
0.064083-0.830585j,0.029713+3.268577j,-0.045460+2.973834j,0.017234
0.067604-0.829529j,0.030896+3.273628j,-0.047256+2.967130j,0.018631
0.071233-0.828423j,0.032118+3.278844j,-0.049109+2.960202j,0.020131
0.074971-0.827266j,0.033380+3.284230j,-0.051021+2.953044j,0.021741
0.078822-0.826055j,0.034683+3.289791j,-0.052992+2.945650j,0.023469
0.082787-0.824787j,0.036028+3.295531j,-0.055025+2.938012j,0.025322
0.086869-0.823459j,0.037417+3.301455j,-0.057120+2.930123j,0.027308
0.091070-0.822069j,0.038850+3.307568j,-0.059279+2.921976j,0.029437
0.095392-0.820614j,0.040328+3.313876j,-0.061504+2.913563j,0.031717
0.099838-0.819091j,0.041854+3.320383j,-0.063796+2.904876j,0.034159
0.104411-0.817496j,0.043428+3.327094j,-0.066156+2.895906j,0.036773
0.109112-0.815826j,0.045051+3.334016j,-0.068585+2.886646j,0.039571
0.113944-0.814077j,0.046726+3.341153j,-0.071086+2.877086j,0.042564
0.118910-0.812246j,0.048452+3.348513j,-0.073659+2.867217j,0.045765
0.124011-0.810329j,0.050233+3.356100j,-0.076305+2.857029j,0.049188
0.129251-0.808321j,0.052069+3.363922j,-0.079027+2.846513j,0.052847
0.134631-0.806218j,0.053962+3.371983j,-0.081825+2.835657j,0.056757
0.140154-0.804016j,0.055913+3.380292j,-0.084700+2.824450j,0.060934
0.145808-0.801715j,0.057920+3.388834j,-0.087647+2.812910j,0.065384
0.151569-0.799323j,0.059974+3.397572j,-0.090652+2.801082j,0.070101
0.157432-0.796837j,0.062075+3.406507j,-0.093713+2.788965j,0.075095
0.163398-0.794255j,0.064222+3.415638j,-0.096830+2.776557j,0.080378
0.169463-0.791574j,0.066417+3.424965j,-0.100000+2.763854j,0.085962
0.175625-0.788793j,0.068658+3.434488j,-0.103222+2.750855j,0.091860
0.181882-0.785909j,0.070947+3.444206j,-0.106494+2.737558j,0.098082
0.188232-0.782919j,0.073282+3.454119j,-0.109814+2.723958j,0.104643
0.194671-0.779821j,0.075665+3.464227j,-0.113181+2.710054j,0.111555
0.201199-0.776613j,0.078095+3.474529j,-0.116591+2.695842j,0.118832
0.207774-0.773312j,0.080558+3.484965j,-0.120023+2.681401j,0.126442
0.214394-0.769916j,0.083054+3.495533j,-0.123473+2.666731j,0.134394
0.221055-0.766425j,0.085582+3.506231j,-0.126940+2.651832j,0.142695
0.227755-0.762838j,0.088143+3.517057j,-0.130418+2.636702j,0.151354
0.234491-0.759154j,0.090735+3.528008j,-0.133907+2.621341j,0.160380
0.241260-0.755372j,0.093359+3.539084j,-0.137401+2.605747j,0.169781
0.248060-0.751491j,0.096014+3.550282j,-0.140897+2.589917j,0.179567
0.254887-0.747511j,0.098700+3.561600j,-0.144391+2.573851j,0.189745
0.261739-0.743430j,0.101417+3.573038j,-0.147880+2.557545j,0.200326
0.268613-0.739249j,0.104165+3.584593j,-0.151359+2.540997j,0.211317
0.275507-0.734965j,0.106944+3.596265j,-0.154823+2.524204j,0.222729
0.282419-0.730580j,0.109754+3.608051j,-0.158267+2.507163j,0.234570
0.289346-0.726091j,0.112594+3.619949j,-0.161685+2.489871j,0.246850
0.296284-0.721498j,0.115464+3.631960j,-0.165073+2.472325j,0.259578
0.303233-0.716801j,0.118366+3.644081j,-0.168424+2.454519j,0.272765
0.310189-0.711999j,0.121298+3.656310j,-0.171730+2.436451j,0.286419
0.317150-0.707091j,0.124260+3.668647j,-0.174986+2.418116j,0.300551
0.324114-0.702077j,0.127254+3.681090j,-0.178183+2.399509j,0.315171
0.331078-0.696956j,0.130278+3.693638j,-0.181313+2.380625j,0.330290
0.337817-0.691898j,0.133234+3.705881j,-0.184269+2.362080j,0.345400
0.344781-0.686563j,0.136322+3.718640j,-0.187242+2.342623j,0.361541
0.351519-0.681292j,0.139343+3.731095j,-0.190028+2.323499j,0.377673
0.358469-0.675743j,0.142493+3.744052j,-0.192799+2.303459j,0.394869
0.365194-0.670260j,0.145577+3.756705j,-0.195369+2.283746j,0.412056
0.372122-0.664495j,0.148791+3.769857j,-0.197888+2.263098j,0.430353
0.378828-0.658799j,0.151940+3.782704j,-0.200189+2.242770j,0.448641
