-0.213480-0.765845j,-0.046643-3.959956j,-0.195292-3.362074j,0.078265
-0.217632-0.763265j,-0.047847-3.980255j,-0.200054-3.367521j,0.082153
-0.221803-0.760642j,-0.049067-4.000767j,-0.204859-3.373025j,0.086175
-0.225991-0.757973j,-0.050305-4.021491j,-0.209708-3.378583j,0.090334
-0.230060-0.755347j,-0.051519-4.041753j,-0.214442-3.384016j,0.094490
-0.234281-0.752588j,-0.052791-4.062901j,-0.219376-3.389685j,0.098926
-0.238384-0.749872j,-0.054041-4.083592j,-0.224197-3.395229j,0.103361
-0.242631-0.747025j,-0.055349-4.105147j,-0.229211-3.401003j,0.108082
-0.246761-0.744220j,-0.056635-4.126249j,-0.234112-3.406653j,0.112801
-0.251029-0.741285j,-0.057979-4.148206j,-0.239203-3.412531j,0.117816
