-1.154370+0.196980j,-0.000003-3.141590j,0.000003-3.141595j,0.000000
-1.154382+0.196972j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154393+0.196965j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154405+0.196958j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154416+0.196950j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154428+0.196943j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154440+0.196935j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154451+0.196928j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154463+0.196921j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154474+0.196913j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154486+0.196906j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154497+0.196899j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154509+0.196891j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154520+0.196884j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154532+0.196877j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154543+0.196869j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154555+0.196862j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154566+0.196855j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154577+0.196848j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154589+0.196840j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154600+0.196833j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154611+0.196826j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154623+0.196819j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154634+0.196812j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154645+0.196804j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154657+0.196797j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154668+0.196790j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154679+0.196783j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154691+0.196776j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154702+0.196769j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154713+0.196762j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154724+0.196754j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154735+0.196747j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154747+0.196740j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154758+0.196733j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154769+0.196726j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154780+0.196719j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154791+0.196712j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154802+0.196705j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154813+0.196698j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154824+0.196691j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154835+0.196684j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154847+0.196677j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154858+0.196670j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154869+0.196663j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154880+0.196656j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154891+0.196649j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154902+0.196642j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154913+0.196636j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154924+0.196629j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154935+0.196622j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154945+0.196615j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154956+0.196608j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154967+0.196601j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154978+0.196594j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.154989+0.196588j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155000+0.196581j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155011+0.196574j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
-1.155022+0.196567j,-0.000003-3.141590j,0.000003-3.141596j,0.000000
