-0.981094-0.247638j,-0.000003+3.141591j,0.000003+3.141595j,0.000000
-0.981106-0.247634j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981118-0.247631j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981130-0.247627j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981142-0.247624j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981154-0.247620j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981166-0.247617j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981178-0.247614j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981190-0.247610j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981202-0.247607j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981214-0.247604j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981225-0.247600j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981237-0.247597j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981249-0.247593j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981261-0.247590j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981273-0.247587j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981285-0.247583j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981296-0.247580j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981308-0.247577j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981320-0.247573j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981332-0.247570j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981343-0.247567j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981355-0.247564j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981367-0.247560j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981379-0.247557j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981390-0.247554j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981402-0.247550j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981414-0.247547j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981425-0.247544j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981437-0.247541j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981448-0.247537j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981460-0.247534j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981472-0.247531j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981483-0.247528j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981495-0.247524j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981506-0.247521j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981518-0.247518j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981529-0.247515j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981541-0.247511j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981552-0.247508j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981564-0.247505j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981575-0.247502j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981587-0.247499j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981598-0.247495j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981610-0.247492j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981621-0.247489j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981633-0.247486j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981644-0.247483j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981655-0.247480j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981667-0.247476j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981678-0.247473j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981689-0.247470j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981701-0.247467j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981712-0.247464j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981723-0.247461j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981735-0.247458j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981746-0.247454j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981757-0.247451j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981768-0.247448j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981780-0.247445j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981791-0.247442j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981802-0.247439j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981813-0.247436j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981825-0.247433j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981836-0.247430j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981847-0.247427j,-0.000004+3.141591j,0.000004+3.141595j,0.000000
-0.981858-0.247424j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.981869-0.247420j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.981880-0.247417j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.981892-0.247414j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.981903-0.247411j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.981914-0.247408j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.981925-0.247405j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.981936-0.247402j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.981947-0.247399j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
-0.981958-0.247396j,-0.000004+3.141590j,0.000004+3.141595j,0.000000
