-0.770570-0.090171j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770581-0.090170j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770591-0.090170j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770602-0.090170j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770613-0.090169j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770623-0.090169j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770634-0.090169j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770645-0.090168j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770655-0.090168j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770666-0.090168j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770676-0.090167j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770687-0.090167j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770698-0.090167j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770708-0.090166j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770719-0.090166j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770729-0.090166j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770740-0.090165j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770750-0.090165j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770761-0.090165j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770771-0.090164j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770782-0.090164j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770792-0.090164j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770803-0.090163j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770813-0.090163j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770823-0.090163j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770834-0.090163j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770844-0.090162j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770855-0.090162j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770865-0.090162j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770875-0.090161j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770886-0.090161j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770896-0.090161j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
-0.770906-0.090160j,-0.000004-3.141593j,0.000004-3.141592j,0.000000
