-1.208142+0.130496j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208127+0.130492j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208112+0.130488j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208097+0.130485j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208083+0.130481j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208068+0.130477j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208053+0.130474j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208038+0.130470j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208024+0.130467j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.208009+0.130463j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207994+0.130459j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207980+0.130456j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207965+0.130452j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207950+0.130449j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207936+0.130445j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207921+0.130442j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207906+0.130438j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207892+0.130435j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207877+0.130431j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207863+0.130428j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207848+0.130424j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207834+0.130420j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207819+0.130417j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207805+0.130413j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207791+0.130410j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207776+0.130406j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207762+0.130403j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207747+0.130399j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207733+0.130396j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207719+0.130393j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207704+0.130389j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207690+0.130386j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207676+0.130382j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207662+0.130379j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207647+0.130375j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207633+0.130372j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207619+0.130368j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207605+0.130365j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207591+0.130361j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207576+0.130358j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207562+0.130355j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207548+0.130351j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207534+0.130348j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207520+0.130344j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207506+0.130341j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207492+0.130338j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207478+0.130334j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207464+0.130331j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207450+0.130327j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207436+0.130324j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207422+0.130321j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207408+0.130317j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207394+0.130314j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207380+0.130311j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207366+0.130307j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207352+0.130304j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207338+0.130301j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207325+0.130297j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207311+0.130294j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207297+0.130291j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
-1.207283+0.130287j,0.000004+3.141593j,-0.000004+3.141592j,0.000000
