-0.972087-0.007325j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972089-0.007344j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972092-0.007363j,1.386294+0.000002j,1.386295-0.000002j,0.000000
-0.972094-0.007382j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972096-0.007402j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972098-0.007421j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972101-0.007440j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972103-0.007459j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972105-0.007477j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972107-0.007496j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972109-0.007515j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972111-0.007534j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972113-0.007553j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972115-0.007571j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972117-0.007590j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972119-0.007609j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972121-0.007627j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972123-0.007646j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972125-0.007664j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972127-0.007683j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972129-0.007701j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972131-0.007720j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972133-0.007738j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972134-0.007756j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972136-0.007775j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972138-0.007793j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972140-0.007811j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972141-0.007829j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972143-0.007847j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972145-0.007865j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972146-0.007883j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972148-0.007901j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972150-0.007919j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972151-0.007937j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972153-0.007955j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972154-0.007973j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972156-0.007991j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972157-0.008009j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972159-0.008026j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972160-0.008044j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972162-0.008062j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972163-0.008079j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972164-0.008097j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972166-0.008115j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972167-0.008132j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972169-0.008150j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972170-0.008167j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972171-0.008184j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972172-0.008202j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972174-0.008219j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972175-0.008237j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972176-0.008254j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972177-0.008271j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972179-0.008288j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972180-0.008305j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972181-0.008323j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972182-0.008340j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972183-0.008357j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972184-0.008374j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972185-0.008391j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972187-0.008408j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972188-0.008425j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972189-0.008442j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972190-0.008458j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972191-0.008475j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972192-0.008492j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972193-0.008509j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972194-0.008525j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972195-0.008542j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972196-0.008559j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972196-0.008575j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972197-0.008592j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972198-0.008609j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972199-0.008625j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972200-0.008642j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972201-0.008658j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972202-0.008675j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972202-0.008691j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972203-0.008707j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972204-0.008724j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972205-0.008740j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972206-0.008756j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972206-0.008773j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972207-0.008789j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972208-0.008805j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972208-0.008821j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972209-0.008837j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972210-0.008853j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972210-0.008869j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972211-0.008885j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972212-0.008901j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972212-0.008917j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972213-0.008933j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972214-0.008949j,1.386294+0.000003j,1.386295-0.000003j,0.000000
-0.972214-0.008965j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972215-0.008981j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972215-0.008997j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972216-0.009013j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972216-0.009028j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972217-0.009044j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972217-0.009060j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972218-0.009076j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972218-0.009091j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972219-0.009107j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972219-0.009122j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972220-0.009138j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972220-0.009154j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972221-0.009169j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972221-0.009185j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972221-0.009200j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972222-0.009215j,1.386294+0.000003j,1.386294-0.000003j,0.000000
-0.972222-0.009231j,1.386294+0.000003j,1.386294-0.000003j,0.000000
